[INFO ] 2018-07-27 11:36:43,763 Main.main() - Application started at 2018-07-27T11:36:43.756872200
[DEBUG] 2018-07-27 11:39:26,888 EU4Preloader.changeState() - changeState
[DEBUG] 2018-07-27 11:39:26,892 EU4Preloader.changeState() - loading...
[DEBUG] 2018-07-27 11:39:26,931 FileProvider.loadProvinces() - generating provinces
[DEBUG] 2018-07-27 11:39:27,207 FileProvider.loadTerrain() - reading terrain map image from C:\Users\flose\Desktop\map\terrain.bmp
[DEBUG] 2018-07-27 11:39:27,526 FileProvider.loadRivers() - reading river map image from C:\Users\flose\Desktop\map\rivers.bmp
[DEBUG] 2018-07-27 11:39:27,825 FileProvider.loadHeightmap() - reading heightmap image from C:\Users\flose\Desktop\map\heightmap.bmp
[DEBUG] 2018-07-27 11:39:28,068 MapProvider.updateProvinceMap() - updating map
[DEBUG] 2018-07-27 11:39:30,639 EU4Preloader.changeState() - changeState
[DEBUG] 2018-07-27 11:39:30,640 EU4Preloader.changeState() - loaded
[DEBUG] 2018-07-27 11:41:43,860 MainViewModel.save() - Saving to C:\Users\flose\Desktop\map
