[INFO ] 2018-09-01 17:39:00,294 Main.main() - Application started at 2018-09-01T17:39:00.287889800
[DEBUG] 2018-09-01 17:39:25,005 EU4Preloader.changeState() - changeState
[DEBUG] 2018-09-01 17:39:25,015 EU4Preloader.changeState() - loading...
[DEBUG] 2018-09-01 17:39:25,082 FileProvider.loadProvinces() - generating provinces
[DEBUG] 2018-09-01 17:39:25,719 FileProvider.loadTerrain() - reading terrain map image from C:\Users\flose\Documents\Paradox Interactive\Europa Universalis IV\mod\Test2\map\terrain.bmp
[DEBUG] 2018-09-01 17:39:25,893 FileProvider.loadRivers() - reading river map image from C:\Users\flose\Documents\Paradox Interactive\Europa Universalis IV\mod\Test2\map\rivers.bmp
[DEBUG] 2018-09-01 17:39:26,052 FileProvider.loadHeightmap() - reading heightmap image from C:\Users\flose\Documents\Paradox Interactive\Europa Universalis IV\mod\Test2\map\heightmap.bmp
[DEBUG] 2018-09-01 17:39:26,252 MapProvider.updateProvinceMap() - updating map
[DEBUG] 2018-09-01 17:39:29,824 EU4Preloader.changeState() - changeState
[DEBUG] 2018-09-01 17:39:29,824 EU4Preloader.changeState() - loaded
[ERROR] 2018-09-01 17:40:03,448 ProvinceMapLayer.lambda$new$0() - null MouseX: 681.3333333333334 MouseY: 199.33333333333331
[ERROR] 2018-09-01 17:40:07,011 ProvinceMapLayer.lambda$new$0() - null MouseX: 128.66666666666669 MouseY: 199.99999999999997
[ERROR] 2018-09-01 17:40:07,227 ProvinceMapLayer.lambda$new$0() - null MouseX: 400.66666666666663 MouseY: 84.00000000000001
[ERROR] 2018-09-01 17:40:07,268 ProvinceMapLayer.lambda$new$0() - null MouseX: 399.33333333333337 MouseY: 76.00000000000001
